ID,Meaning,Day icon,Night icon
200,thunderstorm with light rain,wi-day-thunderstorm,wi-night-thunderstorm
201,thunderstorm with rain,wi-day-thunderstorm,wi-night-thunderstorm
202,thunderstorm with heavy rain,wi-day-thunderstorm,wi-night-thunderstorm
210,light thunderstorm,wi-day-thunderstorm,wi-night-thunderstorm
211,thunderstorm,wi-day-thunderstorm,wi-night-thunderstorm
212,heavy thunderstorm,wi-day-thunderstorm,wi-night-thunderstorm
221,ragged thunderstorm,wi-day-thunderstorm,wi-night-thunderstorm
230,thunderstorm with light drizzle,wi-day-thunderstorm,wi-night-thunderstorm
231,thunderstorm with drizzle,wi-day-thunderstorm,wi-night-thunderstorm
232,thunderstorm with heavy drizzle,wi-day-thunderstorm,wi-night-thunderstorm
300,light intensity drizzle,wi-day-showers,wi-night-alt-rain-mix
301,drizzle,wi-day-showers,wi-night-alt-rain-mix
302,heavy intensity drizzle,wi-day-showers,wi-night-alt-rain-mix
310,light intensity drizzle rain,wi-day-showers,wi-night-alt-rain-mix
311,drizzle rain,wi-day-showers,wi-night-alt-rain-mix
312,heavy intensity drizzle rain,wi-day-showers,wi-night-alt-rain-mix
313,shower rain and drizzle,wi-day-showers,wi-night-alt-rain-mix
314,heavy shower rain and drizzle,wi-day-showers,wi-night-alt-rain-mix
321,shower drizzle,wi-day-showers,wi-night-alt-rain-mix
500,light rain,wi-day-rain,wi-night-rain
501,moderate rain,wi-day-rain,wi-night-rain
502,heavy intensity rain,wi-day-rain,wi-night-rain
503,very heavy rain,wi-day-rain,wi-night-rain
504,extreme rain,wi-day-rain,wi-night-rain
511,freezing rain,wi-day-sleet,wi-night-sleet
520,light intensity shower rain,wi-day-showers,wi-night-alt-showers
521,shower rain,wi-day-showers,wi-night-alt-showers
522,heavy intensity shower rain,wi-day-showers,wi-night-alt-showers
531,ragged shower rain,wi-day-showers,wi-night-alt-showers
600,light snow,wi-day-snow,wi-night-snow
601,snow,wi-day-snow,wi-night-snow
602,heavy snow,wi-day-snow,wi-night-snow
611,sleet,wi-day-sleet,wi-night-sleet
612,shower sleet,wi-day-sleet,wi-night-sleet
615,light rain and snow,wi-day-snow,wi-night-alt-snow
616,rain and snow,wi-day-snow,wi-night-alt-snow
620,light shower snow,wi-day-snow,wi-night-alt-snow
621,shower snow,wi-snow,wi-snow
622,heavy shower snow,wi-snow,wi-snow
701,mist,wi-fog,wi-fog
711,smoke,wi-smoke,wi-smoke
721,haze,wi-day-haze,wi-day-haze
731,"sand, dust whirls",wi-sandstorm,wi-sandstorm
741,fog,wi-fog,wi-fog
751,sand,wi-sandstorm,wi-sandstorm
761,dust,wi-dust,wi-dust
762,volcanic ash,wi-volcano,wi-volcano
771,squalls,wi-strong-wind,wi-strong-wind
781,tornado,wi-tornado,wi-tornado
800,clear sky,wi-day-sunny,wi-night-clear
801,few clouds,wi-cloud,wi-cloud
802,scattered clouds,wi-day-cloudy,wi-night-alt-cloudy
803,broken clouds,wi-day-cloudy,wi-night-alt-cloudy
804,overcast clouds,wi-cloudy,wi-cloudy
